id,price,neighbourhood_cleansed,borough,latitude,longitude,property_type_cleaned,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_score_avg,months_since_last_review,host_years_experience,host_is_superhost,calculated_host_listings_count,nearest_subway_km,listing_count,avg_price,median_price,avg_review_score,listing_density,subway_station_count,subway_density,crime_count,crime_per_1000_listings
797187969473896429,194.0,East Harlem,Manhattan,40.78611768409948,-73.95069416822939,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,30,365,114,18,4.707142857142857,1.8,2.4,f,18,0.05713356600224588,423,144.1016548463357,120.0,4.701161769672408,1023322546578.2432,5.0,12096011188.868122,50000,118203.30969267139
797294766825705391,116.0,Canarsie,Brooklyn,40.64032283528141,-73.90373570793457,Entire home,Entire home/apt,6,1.0,2.0,2.0,30,365,36,16,4.465714285714285,18.6,2.3,f,1,0.6473902631375423,187,134.7058823529412,122.0,4.788082505729565,224489385073.13364,2.0,2400955990.086991,40000,213903.74331550804
797348073045001503,315.0,Hell's Kitchen,Manhattan,40.765878243814306,-73.99087932286305,Entire rental unit,Entire home/apt,3,1.0,0.0,1.0,30,1125,364,0,4.827142857142858,120.0,4.8,f,1,0.5853475163284865,1031,229.2502424830262,178.0,4.710695579880837,4171078082388.755,3.0,12136987630.617134,50000,48496.60523763337
797532770024273727,115.0,East Village,Manhattan,40.72476662257595,-73.98234167171435,Entire rental unit,Entire home/apt,1,1.0,0.0,1.0,30,1125,245,2,4.928571428571429,4.4,2.5,t,4,0.6102858466972803,484,236.1095041322314,180.0,4.758423848878395,2492471166407.988,5.0,25748669074.46268,50000,103305.78512396694
797577207386252643,159.0,Glendale,Queens,40.70603,-73.87226,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,30,180,334,19,4.751428571428571,3.8,2.8,t,5,1.526068249950619,53,117.75471698113208,96.0,4.825606469002696,166436020884.97818,1.0,3140302280.8486447,25000,471698.11320754717
797663637249431951,50.0,Bushwick,Brooklyn,40.69976,-73.93875,Private room in rental unit,Private room,1,1.0,1.0,1.0,30,365,42,3,4.477142857142857,4.3,3.9,f,30,0.23794787476239165,755,116.03576158940398,95.0,4.761791863765374,1497472268298.8037,12.0,23800883734.55052,40000,52980.132450331126
800784650035007772,188.0,Bull's Head,Staten Island,40.60909741012393,-74.15987169538148,Private room in rental unit,Private room,2,1.0,2.0,3.0,30,365,180,7,4.918571428571428,17.1,2.3,f,1,5.4216311339781,8,149.375,104.0,4.881607142857143,10419793350.880674,0.0,0.0,8000,1000000.0
800819591071273776,88.0,Bedford-Stuyvesant,Brooklyn,40.6847466,-73.92911629999999,Private room in rental unit,Private room,1,1.5,1.0,1.0,30,31,365,4,4.714285714285714,20.4,13.0,f,1,0.5506622010054935,1543,137.96824368114065,110.0,4.758850106471623,1798487479605.76,10.0,11655784054.476734,40000,25923.52559948153
800860095602948972,77.0,Chelsea,Manhattan,40.74987,-73.99716,Private room in rental unit,Private room,2,1.0,1.0,2.0,1,29,47,76,4.652857142857142,2.2,3.8,f,32,0.3979506816533609,512,267.4375,200.5,4.7506222098214295,1758082395800.8704,9.0,30903792113.687172,50000,97656.25
795728060620513850,110.0,Tribeca,Manhattan,40.71686,-74.00633,Private room in rental unit,Private room,1,1.0,1.0,1.0,30,30,83,0,4.827142857142858,120.0,11.6,f,1,0.24696972203102954,100,428.25,381.0,4.764028571428572,1018885117157.4618,6.0,61133107029.44771,50000,500000.0
795748488553923191,167.0,Bedford-Stuyvesant,Brooklyn,40.68743,-73.95347,Private room in home,Private room,2,1.0,1.0,1.0,2,365,365,32,4.71,3.0,4.6,t,1,0.2153662992487777,1543,137.96824368114065,110.0,4.758850106471623,1798487479605.76,10.0,11655784054.476734,40000,25923.52559948153
795767361445130827,95.0,Long Island City,Queens,40.74703,-73.94695,Private room in rental unit,Private room,3,1.0,1.0,1.0,30,30,365,10,4.471428571428572,13.7,2.3,f,5,0.12272934051832378,243,172.73251028806584,149.0,4.745120517342739,275633537276.6481,14.0,15880121489.1896,25000,102880.658436214
795852263648517470,108.0,Bushwick,Brooklyn,40.693343793405525,-73.92114532293246,Other,Private room,4,1.0,2.0,2.0,30,365,364,4,4.75,19.6,9.1,t,2,0.3802748536326804,755,116.03576158940398,95.0,4.761791863765374,1497472268298.8037,12.0,23800883734.55052,40000,52980.132450331126
795853601050162136,70.0,Hell's Kitchen,Manhattan,40.76364,-73.99041,Private room in rental unit,Private room,1,1.0,1.0,2.0,30,60,244,47,4.847142857142857,6.2,9.1,f,2,0.4489997244182175,1031,229.2502424830262,178.0,4.710695579880837,4171078082388.755,3.0,12136987630.617134,50000,48496.60523763337
804468188565214896,176.0,South Ozone Park,Queens,40.67189,-73.80901,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,30,30,337,19,4.892857142857143,5.5,2.3,f,1,2.1460627620512716,54,161.35185185185185,141.5,4.808386243386244,88332432514.27551,0.0,0.0,25000,462962.962962963
804582918613581571,185.0,Hell's Kitchen,Manhattan,40.75652,-73.99408,Room in hotel,Private room,4,1.0,1.0,2.0,1,365,221,271,4.527142857142857,1.5,2.6,f,2,0.4202933119142667,1031,229.2502424830262,178.0,4.710695579880837,4171078082388.755,3.0,12136987630.617134,50000,48496.60523763337
800922424201638568,250.0,Flushing,Queens,40.76413780904863,-73.82433432560286,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,30,1125,269,5,4.628571428571428,19.7,9.1,f,1,0.7136689292316829,297,106.45117845117845,85.0,4.770485810485811,132337196323.15425,2.0,891159571.1996919,25000,84175.08417508418
801004802797774782,254.0,Bedford-Stuyvesant,Brooklyn,40.6798168778581,-73.92026217455307,Private room in condo,Private room,3,1.0,1.0,2.0,30,365,365,10,4.671428571428572,20.1,10.0,f,13,0.11018682858520673,1543,137.96824368114065,110.0,4.758850106471623,1798487479605.76,10.0,11655784054.476734,40000,25923.52559948153
797697023367597587,95.0,Harlem,Manhattan,40.830779,-73.946478,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,30,90,252,8,4.8757142857142854,2.6,2.3,t,1,0.35554405402412215,1025,147.0341463414634,106.0,4.756217421602788,1606333876339.304,15.0,23507325019.59957,50000,48780.48780487805
797749636813293902,119.0,Midtown,Manhattan,40.74829,-73.98667,Private room in rental unit,Private room,5,1.0,1.0,3.0,1,365,269,31,4.312857142857143,3.7,3.9,f,68,0.17719118182319255,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
